is_item_no | is_item_name | is_category_main | is_category_sub | is_cool_price | is_content | is_end_date | is_auction_price
6080|[라벨루쏘] [셀린느] 188363BFH 38NO 스몰 C 참 퀼팅 카메라 백 /3|패션잡화-200|여성가방-20001|790938|가성비 킹입니다!!!|2021-06-30|514109
6081|프라다 여성 나일론 삼각로고 포코노 블랙 클러치백 1NH545 067 F0002|패션잡화-200|여성가방-20001|375148|가성비 킹입니다!!!|2021-06-11|243846
6082|S55UI0193 P0399 T8013 공용 클러치/파우치백|패션잡화-200|여성가방-20001|262001| 싸게 팝니다|2021-06-26|170300
6083|이세이미야케 여성 바오바오 프리즘 베이지 클러치백 BB16 AG044 40|패션잡화-200|여성가방-20001|397409|색깔별로 소유하고있습니다. 문의 주세요!!|2021-06-19|258315
6084|【매니아온】프라다 버킷백 4종 택1|패션잡화-200|여성가방-20001|1153756|요즘 핫하다는 물건 바로 팝니다!!!|2021-06-16|749941
6085|프라다 여성 벨라 포코노 스몰 백팩 1BZ677 V44 F0002|패션잡화-200|여성가방-20001|1302749|착용 잘 안해서 싸게 팝니다.|2021-06-4|846786
6086|보테가베네타 여성 인트레치아토 블랙 숄더백 428136 V0016 8175|패션잡화-200|여성가방-20001|1568199|핏 잘 빠집니다. 입찰많이들 해주세용!!|2021-06-27|1019329
6087|[GG 마몽] 스몰 마틀라세 숄더백|패션잡화-200|여성가방-20001|1990000|솔직히 싸디 싼 쿨거래가|2021-06-22|1293500
6088|보테가베네타 라지 인트레치아토 미니 크로스백 블랙 609407 VCPP5 8648|패션잡화-200|여성가방-20001|1187280|가성비 킹입니다!!!|2021-06-24|771732
6089|(백화점AS) 21시즌 생로랑 크로스백 미니 금장 블랙 폰홀더 635095 (국내당일/선물포장)|패션잡화-200|여성가방-20001|1015793|상태 괜찮습니다. 입찰해주세요|2021-06-10|660265
6090|[보테가베네타] 21SS 여성 인트레치아토 카세트 크로스백 (578004_VMAY1_1619_21S)|패션잡화-200|여성가방-20001|2120000|선선한 날씨에 입기 좋습니다.|2021-06-28|1378000
6091|[오피디아] GG 스몰 숄더백|패션잡화-200|여성가방-20001|1580000|가성비 킹입니다!!!|2021-06-7|1027000
6092|Tory Burch Miller Metal Logo Phone Crossbody 61183 토리버치 밀러 메탈 로고 폰 크로스바디|패션잡화-200|여성가방-20001|241530|데이트할 때 입으면 딱 좋은 옷이에욥|2021-06-7|156994
6093|【매니아온】롱샴 르 플리아쥬 토드백(스몰) 6종 택1|패션잡화-200|여성가방-20001|88407|유명한 브랜드입니다...그래도 싸게팔아용|2021-06-22|57464
6094|(면세정상가 426,354원) [TORY BURCH]59569.403/메이슨 플랩 크로스 바디 (5월마감환율기준)|패션잡화-200|여성가방-20001|276000|유명한 브랜드입니다...그래도 싸게팔아용|2021-06-29|179400
6095|생로랑 모노크램 클러치 뉴미듐 금장 (559193CWU011000) 21SS [국내발송]|패션잡화-200|여성가방-20001|955700|즉구 환영. 안팔려도 이벤트 넘겨질 물품|2021-06-3|621205
6096|[명품] 생로랑/톰브라운/마르지엘라 BEST|패션잡화-200|여성가방-20001|955700|정가보다 엄청 싼 가격입니다 연락주세요|2021-06-7|621205
6097|(백화점AS) 21시즌 금장 블랙 생로랑 WOC 엔벨롭 체인 크로스백 393953 (국내당일/선물포장)|패션잡화-200|여성가방-20001|1738310|싸게팝니다|2021-06-10|1129901
6098|[GG 마몽] 미니 버킷백|패션잡화-200|여성가방-20001|1450000|어쩌다 하나 더 가지게 되어 싸게 팔아요|2021-06-6|942500
6099|Marc Jacobs Snapshot DTM M0014867 마크제이콥스 스냅샷 DTM 백|패션잡화-200|여성가방-20001|319130|없어서 못사는 옷입니다. 연락주세요|2021-06-21|207434
6100|구찌 홀스빗 1955 미니 백|패션잡화-200|여성가방-20001|3150000|즉구대환영. 급처하는거에요 ㅠㅠㅠ|2021-06-15|2047500
6101|토리버치 여성 엘라 나일론 블랙 토트백 55228 001|패션잡화-200|여성가방-20001|218493|솔직히 싸디 싼 쿨거래가|2021-06-17|142020
6102|[디스토어] 마크 제이콥스 박스 백 20 블룸 M0016218 950|패션잡화-200|여성가방-20001|315784|엄청아끼는건데 돈이 급해서 급처해요ㅠㅠㅠ|2021-06-24|205259
6103|로에베 21SS 387.30.S35 1100 스몰 해먹백|패션잡화-200|여성가방-20001|2933280|선선한 날씨에 입기 좋습니다.|2021-06-23|1906632
6104|생로랑 모노그램 마틀라세 체인 숄더백 은장 (393953 BOW02 1000) [카탈로][국내배송]|패션잡화-200|여성가방-20001|1423860|신상입니다. 그래도 정가보다 싸게팔아요|2021-06-26|925509
6105|[해외배송] 생로랑 루루 스몰 크로스백 494699DV7261000|패션잡화-200|여성가방-20001|2153362|입찰 많이들 해주십쇼|2021-06-26|1399685
6106|[여주점] 로고퀼팅 미니 백팩 (WMJ1BA412555)|패션잡화-200|여성가방-20001|194400|상태 괜찮습니다. 입찰해주세요|2021-06-1|126360
6107|[바오바오] BB16 AG053-15 루센트 여성 토트백 블랙|패션잡화-200|여성가방-20001|414064|2차 구매해서 산 중고옷인데 여전히 예쁩니당|2021-06-24|269141
6108|질샌더 JSPS853173 108 실버로고 스몰 탱글 숄더백 21SSJSPS853173WSB69149N108|패션잡화-200|여성가방-20001|636411|신용보장합니당. 거래주세요|2021-06-15|413667
6109|【매니아온】롱샴 르 플리아쥬 네오 스몰 2605 619 556|패션잡화-200|여성가방-20001|109839|ㅍㅍㅍㅍ편하게 연락주셈|2021-06-12|71395
6110|[Celine]Celine SS21 Bum Bag Celine 숄더백 195903DCS 38SI 195903 DCS3 8si|패션잡화-200|여성가방-20001|1268548|즉구대환영. 급처하는거에요 ㅠㅠㅠ|2021-06-14|824556
6111|프라다 여성 비텔로 블랙 숄더백 1BH046 2BBE F0002|패션잡화-200|여성가방-20001|1390932|하자 1도 없습니다. 빠른거래 ㄱㄱ|2021-06-22|904105
6112|【매니아온】롱샴 르 플리아쥬 토드백 (스몰) 7종 택1|패션잡화-200|여성가방-20001|88407|요즘 핫하다는 물건 바로 팝니다!!!|2021-06-9|57464
6113|[파주점] 생로랑/ 구찌 가방 모음전 440222-CWU01-1000|패션잡화-200|여성가방-20001|970000|착용 잘 안해서 싸게 팝니다.|2021-06-2|630500
6114|[공식] 윌로우 버킷 백 C3890 B4NQ4|패션잡화-200|여성가방-20001|550000|싸게팝니다|2021-06-27|357500
6115|[오피디아] 미디엄 토트백|패션잡화-200|여성가방-20001|1960000|중고지만, 저얼대 하자없어요. 새거 그자체입니다.|2021-06-25|1274000
6116|[발렌티노] 21SS 여성 VLOGO 크로스백 (VW2P0V33_SNP_0NO_21S)|패션잡화-200|여성가방-20001|856000|가성비 킹입니다!!!|2021-06-8|556400
6117|GG 스몰 토트백|패션잡화-200|여성가방-20001|2110000|색깔별로 소유하고있습니다. 문의 주세요!!|2021-06-27|1371500
6118|[파주점] [s 스타일] 구찌 GG 수프림 WEB장식 토트백 (211134 KGD3G 8527)|패션잡화-200|여성가방-20001|1116000|유명한 브랜드입니다...그래도 싸게팔아용|2021-06-7|725400
6119|[오피디아] GG 미니 백|패션잡화-200|여성가방-20001|1390000|잘 안써서 싸게 팔아요. 하자없어요.|2021-06-10|903500
6120|프라다 여성 삼각로고 블랙 크로스백 1BD2582 DLN F0002|패션잡화-200|여성가방-20001|1870791|착용 잘 안해서 싸게 팝니다.|2021-06-30|1216014
6121|[GG 마몽] 미니 버킷백|패션잡화-200|여성가방-20001|1450000|착용 잘 안해서 싸게 팝니다.|2021-06-14|942500
6122|멀버리 스몰 달리 사첼 RL4956/346G110|패션잡화-200|여성가방-20001|739000|유명한 브랜드입니다...그래도 싸게팔아용|2021-06-11|480350
6123|[프리오더] 아페쎄 디나 크로스백 PXAWV F61533 CAD|패션잡화-200|여성가방-20001|299000|즉구대환영. 급처하는거에요 ㅠㅠㅠ|2021-06-11|194350
6124|구찌 홀스빗 1955 미니 탑 핸들 백|패션잡화-200|여성가방-20001|2900000|유명한 브랜드입니다...그래도 싸게팔아용|2021-06-14|1885000
6125|[마르니] 트렁크 미디움 SBMPN09NO1 LV520 ZM28N 여자 숄더백|패션잡화-200|여성가방-20001|1190987|옷감이 너무 좋아여ㅎㅎㅎ 구매들 해주세용|2021-06-3|774141
6126|[시흥점] [PRADA] 돔 토트겸숄더백 1BB013 NERO TESSUTO SAFFIANO|패션잡화-200|여성가방-20001|1260000|즉구 환영. 안팔려도 이벤트 넘겨질 물품|2021-06-19|819000
6127|20FW 보테가 베네타 인트레치아토 스트랩 클러치 미듐 (슬레이트) 592648 VCPQ3 1607|패션잡화-200|여성가방-20001|715277|선선한 날씨에 입기 좋습니다.|2021-06-1|464930
6128|간치니 미니백|패션잡화-200|여성가방-20001|1250000|상태 괜찮습니다. 입찰해주세요|2021-06-5|812500
6129|[발렌티노] 락스터드 UW2P0269BOL 0NO 여자 클러치/파우치백|패션잡화-200|여성가방-20001|365313|솔직히 싸디 싼 쿨거래가|2021-06-11|237453
6130|[아페쎄] 21SS 로르 데님 토트 COCSX-F61283|패션잡화-200|여성가방-20001|98000|옷감이 너무 좋아여ㅎㅎㅎ 구매들 해주세용|2021-06-26|63700
6131|[GG 마몽] 온라인 단독 미니 백|패션잡화-200|여성가방-20001|2960000|ㅍㅍㅍㅍ편하게 연락주셈|2021-06-26|1924000
6132|[TUMI KOREA] 보야져 도리 백팩_0196306D|패션잡화-200|여성가방-20001|327120|ㅍㅍㅍㅍ편하게 연락주셈|2021-06-17|212628
6133|생로랑 여성 모노그램 미듐 클러치 559193 CWU01 1000|패션잡화-200|여성가방-20001|1004765|신용보장합니당. 거래주세요|2021-06-12|653097
6134|[발렌시아가] 21SS 네이비 카바스 XS 블랙 390346 2HH3N 1000 그랑데뚜왈|패션잡화-200|여성가방-20001|993523|어쩌다 하나 더 가지게 되어 싸게 팔아요|2021-06-18|645789
6135|피니밀 S 브리들 HSSBS111850|패션잡화-200|여성가방-20001|391500|행운을 불러주는 옷입니당 많이들 입찰해주세용|2021-06-11|254475
6136|[해외배송] 끌로에 스몰 마르씨 라피아 숄더백 CHC20US829C9725M|패션잡화-200|여성가방-20001|474757|잘 안써서 싸게 팔아요. 하자없어요.|2021-06-13|308592
6137|【매니아온】메종마르지엘라 5AC백 미니 S56WG0082 P0396 H7736|패션잡화-200|여성가방-20001|1831543|잘 안써서 싸게 팔아요. 하자없어요.|2021-06-8|1190502
6138|프라다 여성 비텔로 블랙 숄더백 1BH046 2BBE F0002　|패션잡화-200|여성가방-20001|1390932|유명한 브랜드입니다...그래도 싸게팔아용|2021-06-5|904105
6139|[발렌시아가] 에브리데이 토트 XXS_551815 D6W2N|패션잡화-200|여성가방-20001|1080000|어어어엄청 편해요|2021-06-1|702000
6140|버버리 빈티지 체크 배럴백 8015075 A7026|패션잡화-200|여성가방-20001|718382|착용 딱 1번했어요. 사이즈체크할때...|2021-06-9|466948
6141|씨바이끌로에 조안 카메라백 CHS19SS994 330 242|패션잡화-200|여성가방-20001|279322|요즘 핫하다는 물건 바로 팝니다!!!|2021-06-16|181559
6142|[Loewe]SS21 Bag Loewe 크로스백 A650N46X01 7889 A650N46X017889|패션잡화-200|여성가방-20001|1619010|어어어엄청 편해요|2021-06-11|1052356
6143|[해외배송] 질샌더 스몰 탱글 숄더백 JSPS853173_WSB69149N108|패션잡화-200|여성가방-20001|674655|신상입니다. 그래도 정가보다 싸게팔아요|2021-06-9|438525
6144|[국내발송] 생로랑 마틀라세 체인 지갑 숄더백 (377828BOW081000) 당일출고|패션잡화-200|여성가방-20001|1661170|데이트할 때 입으면 딱 좋은 옷이에욥|2021-06-13|1079760
6145|EMMA SMALL PURSE WITH CHAIN (VLSCBA2038300f)|패션잡화-200|여성가방-20001|323000|선선한 날씨에 입기 좋습니다.|2021-06-13|209950
6146|고야드 방돔백 MINI 토트백 기본컬러 VENDOME BAG VENDOMEMINI0724|패션잡화-200|여성가방-20001|3678797|착용 딱 1번했어요. 사이즈체크할때...|2021-06-14|2391218
6147|[바오바오 BAOBAO] BB16 AG044-91 프리즘 여성 클러치백 실버|패션잡화-200|여성가방-20001|350917|요즘 핫하다는 물건 바로 팝니다!!!|2021-06-20|228096
6148|버버리 투웨이 백팩(40759721,40759731)|패션잡화-200|여성가방-20001|1272000|연락주세요. 예뻐요|2021-06-26|826800
6149|[마르니] 트렁크 미디움 SBMPN09NO1 LV589 ZN99N 여자 숄더백|패션잡화-200|여성가방-20001|1197599|사이즈가 작아서 팔아요!! 연락주세요|2021-06-28|778439
6150|구찌 소호 디스코백(308364)|패션잡화-200|여성가방-20001|1530000|솔직히 싸디 싼 쿨거래가|2021-06-11|994500
6151|[토즈] 21SS 여성 쇼핑 토트숄더백 (XBWAOSA0100_RIA_G809_21S)|패션잡화-200|여성가방-20001|1040000|선선한 날씨에 입기 좋습니다.|2021-06-29|676000
6152|생로랑 루루 토이 은장 로고 퀄팅 숄더백 630951DV7061000 [당일출고]|패션잡화-200|여성가방-20001|1661170|핏 잘 빠집니다. 입찰많이들 해주세용!!|2021-06-7|1079760
6153|펜디 KARLIGRAPHY 크로스백 8BT317 AAIW F15ZW|패션잡화-200|여성가방-20001|1137810|싸게팝니다|2021-06-13|739576
6154|마크제이콥스 스냅샷 월렛 체인 크로스백 M0016762 666|패션잡화-200|여성가방-20001|301750|착용 잘 안해서 싸게 팝니다.|2021-06-17|196137
6155|[썬포토정품] 탐론 70-180mm F/2.8 Di III VXD A056 소니용 카메라렌즈|디지털·가전-400|카메라·DSLR-40007|1546144|어어어엄청 편해요|2021-06-17|1004993
